TACC3	AURKA	CKAP5	Aurora_A/chTOG/TACC3_(complex)
HDAC3	NFKBIA	NF_kappa_B1_p50/RelA_(complex)	I_kappa_B_alpha/HDAC3_(complex)
ARF1	ARF1/GTP_(complex)	ARHGAP10	ARF1/GTP/ARHGAP10_(complex)
DP1/2_(family)	E2F4/5_(family)	RBL2	p130/E2F4/5/DP1/2_(complex)
EIF4G3	EIF4G2	EIF4G1	eIF-4G_(dimer)_(complex)
NFKB1	RELA	NFKBIA	NF-kappa-B/RelA/I_kappa_B_alpha/ubiquitin_(complex)
MS4A2	FCER1G	FCER1A	Fc_epsilon_R1_(complex)
E2F4	RBL1	RBL2	E2F-4/p107/p130_(complex)
WNT5A	FZD2	ROR2	WNT5A/FZD2/ROR2(dimer)_(complex)
WNT5A	ROR2	FZD7	WNT5A/FZD7/ROR2(dimer)_(complex)
RHOA/GDP_(complex)	RHOA	ARHGDIA	RhoA/GDP/RHOGDI_(complex)
ITGB1	ITGB4	ITGA6	alpha6/beta4_Integrin_(complex)
CLNS1A	WDR77	PRMT5	Methylosome_(complex)
AURKA	GIT1/betaPIX/PAK1_(complex)	PAK1	PAK1/Aurora_A_(complex)
Activated_PAR1/Beta-arrestin-1_(complex)	SRC	ERK_(family)	Activated_PAR1/Beta-arrestin-1/Activated_Src/ERK_(complex)
CSTF1	CSTF3	CSTF2	CSTF_(complex)
SHARP/RBPJ/CtIP/CtBP/LSD1_(complex)	RBPJ	NOTCH1	RBPJ/NICD_(complex)
CXCL9	CXCR3	CXCR3/GNAI2/GDP/G_beta/gamma_(complex)	CXCL9/CXCR3_(complex)
SOCS1	JAK3	IL2RG	IL2R_gamma/JAK3/SOCS1_(complex)
RELA	NFKBIA	NFKB1	NF_kappa_B1/RelA/I_kappa_B_alpha_(complex)
BRCA1	BRCA1/BARD1/CTIP_(complex)	BARD1	BRCA1/BARD1_(complex)
CDH1	PROC	SMAD3	CDH1/APC/SMAD3_(complex)
RAC1/GDP_(complex)	RAC1	ARHGDIA	RAC1/GDP/RHOGDI_(complex)
AMPK_gamma_(family)	AMPK_beta_(family)	p-AMPK_alpha_(family)	p-AMPK_heterotrimer_(complex)
CHRNA5	CHRNB2	CHRNA3	Acetylcholine_receptor_alpha3-beta2-aplha5_(complex)
FZD8	WNT1	RYK	WNT1/FZD8/Ryk_(complex)
KIF17	CREM	FHL5	CREM/ACT/Kif17b_(complex)
ATF-2/CSX/GATA4_(complex)	GATA4	NKX2-5	CSX/GATA4_(complex)
BIRC4	BIRC3	BIRC2	XIAP/cIAP1/cIAP_(complex)
LAMC2	LAMB3	LAMA3	Laminin_5_(complex)
GNAI2/GTP_(complex)	Hck-Fgr-Lyn_(family)	GNAI2	GNAI2/GTP/Hck-Fgr-Lyn_(complex)
TLR3	IRAK1	MYD88	Poly_(I/c)TLR3/TLR3/MYD88/IRAK_(complex)
GINS2	GINS1	GINS4	GINS_complex_(complex)
TNFRSF1B	TNF	TNF-alpha_(complex)	TNF-alpha/TNFR2_(cleaved)_(complex)
Cleaved_Trimeric_palmitylated_HA_(complex)	Gycosylated_NA_Tetramer_(complex)	palmitylated_M2_Tetramer_(complex)	Influenza_A_Viral_Envelope_(complex)
NOX1	NOXA1	NOXO1	NOX1/NOXA1/NOXO1_(complex)
NTN1	UNC5A	DCC	netrin_1/DCC/UNC5A_(complex)
Lck/Csk_(family)	PD-1_ligands_(family)	PDCD1	Phosphorylated_PD-1_bound_to_B7DC/B7H1_(complex)
GNB5	RGS9BP	RGS9	RGS9-1/Gbeta5/R9AP_(complex)
Gycosylated_NA_Tetramer_(complex)	Membrane_Spanning_Cleaved_Trimeric_palmitylated_HA_(complex)	palmitylated_M2_Tetramer_(complex)	Influenza_A_Viral_Envelope_Fused_With_The_Endocytic_Vesicle_Membrane_By_An_Inter-Membrane_Spanning_HA2_(complex)
Ephrin_A1/EPHA4_(complex)	EPHA4	EFNA1	Ephrin_A1/EPHA4_(complex)
Endoglin_(dimer)_(complex)	ARRB2	ENG	Endoglin_(dimer)/beta_Arrestin2_(complex)
GATA4	ATF2	NKX2-5	ATF-2/CSX/GATA4_(complex)
IRS12_(family)	NTRK1	beta-NGF_homodimer_(complex)	Activated_TrkA_receptor/IRS1/2_(complex)
CHRNA4	CHRNA6	CHRNB3	acetylcholine_receptor_alpha6_aplha4_beta3_(complex)
MLLT4	nectin-1(dimer)/I-afadin/I-afadin_(complex)	PVRL1	nectin-1(dimer)/I-afadin/I-afadin/nectin-1(dimer)/I-afadin/I-afadin_(complex)
ATM	TREX1	ATR	ATR/ATRIP/ATM_(complex)
NOTCH1_heterodimer_(complex)	NOTCH1	DLL1	NOTCH1_heterodimer/sDelta_1_(complex)
NOTCH1_heterodimer_(complex)	NOTCH1	DLL1	NOTCH1_heterodimer/Delta_1_(complex)
SRC	progesterone/iPR_(complex)	PGR	progesterone/iPR/SRC_(complex)
INCENP	AURKB	AURKC	Aurora_C/Aurora_B/INCENP_(complex)
RAP1A/GTP_(complex)	ARAP3	RAP1A	ARAP3/RAP1A/GTP_(complex)
VAMP8	STX4	SNAP23	Vamp8/SNAP23/Syn4_Secretory_granule_docking_and_fusion_complex_(complex)
RIPK1	MAVS	FADD	IPS-1/RIP-1/FADD_(complex)
COL2A1	COL11A1	COL11A2	Type_XI_Collagen_(complex)
ESR1	PDIA2	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/PDI_(complex)
HDAC3	NR1D1_(REV-ERBA)/heme_(complex)	NCOR1	NR1D1_(REV-ERBA)/heme/Corepressor_(complex)
NFYC	NFYB	NFYA	NF-Y_(complex)
VLDLR	LRP8	RELN	RELN/LRP8_(complex)
ERBB2	HBEGF	ERBB4	ErbB4/ErbB2/HBEGF_(complex)
HSP90AA1	palmitoylated_myristoylated_eNOS_dimer_(complex)	Active_Calmodulin_(complex)	eNOS/CaM/HSP90_(complex)
EFNB1	EPHB1-2_(family)	Ephrin_B1/EPHB1-2/Src_Family_Kinases_(complex)	Ephrin_B1/EPHB1-2_(complex)
FZD9	LRP6	WNT2	WNT2/FZD9/LRP6_(complex)
TYK2	IFNAR1	STAT2	p-STAT2/p-IFNAR1/p-TYK2_(complex)
COL4A5	COL4A4	COL4A3	Collagen_alpha-3(IV)/Collagen_alpha-4(IV)/Collagen_alpha-5(IV)_triple_helix_(complex)
IKBKB	Ub-NEMO_(complex)	CHUK	IKK_complex_with_Ub-NEMO_(complex)
PP2A-subunit_A_(family)	PP2A_regulatory_subunit_B_alpha/B_beta_(family)	PP2A-catalytic_subunit_C_(family)	PP2A_with_regulatory_subunit_B_alpha_or_B_beta_(complex)
LRRC41	Cul5-SCF_complex_(complex)	ASB_family_(family)	RBX1-CUL5-EloB/C-ASB_(complex)
LAMA2	LAMB2	LAMC1	Laminin_4_(complex)
POU4F2	ESR1	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/POU4F2_(complex)
GP5	GPIb_(complex)	GP9	GPIb-IX-V_complex_(complex)
JAKs_(family)	Cytokine_receptor	TYK2	Cytokine_receptor/JAKs/TYK2_(complex)
BCL2L1	P55269	BCL2	BAX/BCL-2/BCL-XL_(complex)
GNB2L1	TCEB2	TCEB1	RACK1/Elongin_B/Elongin_C_(complex)
CXCL12	SDC4	CXCR4	Syndecan-4/CXCL12/CXCR4_(complex)
NT-4/5_(dimer)_(complex)	NTF4	NGFR	NT-4/5_(dimer)/p75(NTR)_(complex)
CALM1	CAMKII_family_(family)	Ca2+/CaM_(complex)	CaM/Ca2+/CAMKII_(complex)
EIF2S1	EIF2S3	EIF2S2	eIF2_subunit_complex_(complex)
ZWILCH	ZW10	KNTC1	RZZ_complex_(complex)
SIRT1	KAT2B	MYOD1	SIRT1/PCAF/MYOD_(complex)
LAMC2	LAMB3	LAMA3	laminin-5_complex_(complex)
fibrin	F2	Fibrinogen_(complex)	Thrombin/Fibrin_(complex)
DDK_(complex)	Mcm10/active_pre-replicative_complex_(complex)	CDK_(complex)	CDK/DDK/Mcm10/pre-replicative_complex_(complex)
PCNA	CDK2	CCNE1	CDK2/CYCLIN_E/PCNA_(complex)
SH3KBP1	CBL	SH3GL2	CIN85/Endophilin/CBL_(complex)
CHRNA6	CHRNB3	CHRNB4	Acetylcholine_receptor_alpha6_beta3_beta4_(complex)
IRAK2	K6_polyubiquitinated_TRAF6_(complex)	K63-linked-polyUb-TRAF6_(complex)	p-IRAK2/K63-linked_pUb_oligo-TRAF6_(complex)
CCND1	CDK4	CDK6	CYCLIN_D1/CDK4/CDK6_(complex)
LIS1/LIS1/CLIP170/dynein/dynactin_(complex)	LIS1	CLIP1	LIS1/LIS1/CLIP170_(complex)
ATPase_CF(1)_(complex)	ATP5O	ATPase_CF(0)_(complex)	ATPase_complex_(complex)
Gycosylated_NA_Tetramer_(complex)	Membrane_Spanning_Cleaved_Trimeric_palmitylated_HA_(complex)	palmitylated_M2_Tetramer_(complex)	Influenza_A_Viral_Envelope_With_An_Inter-Membrane_Spanning_HA2_(complex)
Active_PDGF_dimers_(AA_AB_BB)_(family)	Phospho-_PDGF_receptor_dimer_(family)	GRB2/SOS1_(complex)	PDGF/Phospho-PDGF_receptor_dimer/Grb2/Sos1_(complex)
IQGAP1/CaM_(complex)	PAFAH1B1	IQGAP1	LIS1/IQGAP1_(complex)
SNAP-25_(family)	VAMP2	Syntaxin_1A_(family)	Core_SNARE_Complex_(complex)
TAB2	TAB1	MAP3K7	TAK1/TAB1/TAB2_(complex)
IL2RB	FYN	JAK1	IL2R_beta/JAK1/Fyn_(complex)
NCOA3	ESR1	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/AIB1_(complex)
GNGT2	GNB3	Cone_Metarhodopsin_II/Cone_Transducin_(complex)	GNB3/GNGT2_(complex)
TNK2	CDC42/GTP_(complex)	CDC42	CDC42/GTP/ACK1_(complex)
F2RL2	PAR1/PAR3_(complex)	F2R	PAR1/PAR3_(complex)
VAMP2	STX4	SNAP23	Vamp2/SNAP23/Syn4_Secretory_granule_docking_and_fusion_complex_(complex)
LAMB1	LAMA3	LAMC1	Laminin_6_(complex)
CCND1	CDK4	PCNA	CDK4/CYCLIN_D1/PCNA_(complex)
TPX2	Importin-alpha/Importin-beta/NuMA/Tpx2_(complex)	NUMA1	NuMA/Tpx2_(complex)
IKBKB	IKBKG	CHUK	IKK_complex_(complex)
Ran/GTP_(complex)	RAN	KPNB1	Ran/GTP/Importin-beta_(complex)
GNAT1	PDE6G/GNAT1/GTP_(complex)	PDE6A/B_(complex)	GNAT1/GDP_(complex)
GFRA1	GDNF	RET	RET/GFRalpha1/GDNF_(complex)
AC	GPCR	GNAS	GPCR/AC/G-alpha-s_(complex)
B2M	PDIA3	Class_I_MHC_heavy_chain_(MHC_HC)_(family)	Class_I_MHC_HC/B2M/Erp57_(complex)
Type_II_receptor_complex_(complex)	Dimeric_TGF-beta_1_(complex)	Type_I_receptor_dimer_(complex)	TGF-beta_1/type_II_receptor/type_I_receptor_complex_(complex)
HSP90_homodimer_(complex)	EGFR	CDC37_homodimer_(complex)	EGFRvIII_mutant/HSP90/CDC37_(complex)
FZD1	LRP6	WNT2	WNT2/FZD1/LRP6_(complex)
B2M	PDIA3	(Glc)1(Man)9(GlcNAc)2-MHC_class_I_heavy_chain_(complex)	MHC_HC/B2M/Erp57_(complex)
RPA1	RPA3	RPA2	RPA_heterotrimer_(complex)
SYCE1	SYCE2	TEX12	Central_Element_of_Synaptonemal_Complex_(complex)
C1QC	C1QB	C1QA	C1Q_subunit_(C1QA/C1QB/C1QC_heterotrimer)_(complex)
GTF2B	pol_II_promoter/TFIID_complex_(complex)	TFIIA_(complex)	pol_II_promoter/TFIID/TFIIA/TFIIB_complex_(complex)
IRAK1	MYD88	TLR7	R848/TLR7/TLR7/MYD88/IRAK_(complex)
TLR2	TLR1	SFTPA1	SFTPA1/TLR2/TLR1_(complex)
TAF1C	TAF1B	TAF1A	SL1_(complex)
EIF4G_(family)	eIF4A_(family)	EIF4E1/EIF4E3_(family)	EIF4F_(complex)
JAK2	IFNGR1	JAK1	IFN-gammaR/JAK1/JAK1/JAK2/JAK2_(complex)
Cap_Binding_Complex_(CBC)_(complex)	RNA_Polymerase_II_holoenzyme_complex_(hypophosphorylated)/TFIIF_complex_(complex)	CTDP1	RNA_Pol_II_(hypophosphorylated)/capped_pre-mRNA_complex_(complex)
Antigen_peptide_bound_class_I_MHC_(complex)	Sec23p/Sec24p_Complex_(complex)	Sar1b/GTP_Complex_(complex)	Sar1p/GTP/Sec23p/Sec24p/Ag_bound_MHC_class_I_(complex)
HSP90_homodimer_(complex)	CDC37_homodimer_(complex)	Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs_(family)	Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)
STX1A	SNAP25	VAMP2	STX1A/SNAP25/VAMP2_(complex)
SHH	CDON	SHH_Np/Cholesterol_(complex)	SHH_Np/Cholesterol/CDO_(complex)
GSC	SPI1	RB1/E2F1-3/DP_(complex)	SPI1/GSC_(complex)
GTF2B	TFIIA_(complex)	HIV-1_promoter/TFIID_complex_(complex)	HIV-1_promoter/TFIID/TFIIA/TFIIB_complex_(complex)
FKBP5	NR3C1	HSP90AA1	GR_alpha/HSP90/FKBP51/HSP90_(complex)
LYN	FYN	GP_VI_/_FceRI_gamma_dimer_(complex)	GPVI/FceRI_gamma/FYN/LYN_(complex)
NOTCH1_heterodimer_(complex)	NOTCH1	JAG1	NOTCH1_heterodimer/Jagged_1_(complex)
XRCC6	XRCC5	PRKDC	DNA-PK_(complex)
RB1CC1	ATG13	ULK1-2_(family)	ULK1-2/ATG13/FIP200_(complex)
MUSK	DVL1	PAKs_(family)	MUSK/DVL/PAKs_(complex)
EGFR	EGF	CBL	EGF/Phospho-EGFR_(Y1045)_dimer/Phospho-CBL_(complex)
TLR2	IRAK1	MYD88	TLR2/TLR2/MYD88/IRAK_(complex)
ACVR2B	CRIPTO_and_CRYPTIC_(family)	ACVR1C	ACVR1C/ACVR2B/EGF-CFC_(complex)
NFATC2	JUN	FOS	NFAT1/JUN/FOS_(complex)
JAK1	LMO4	IL6ST	gp130_(dimer)/JAK1/JAK1/LMO4_(complex)
RAC1/GTP_(complex)	IQGAP1	RAC1	RAC1/GTP/IQGAP1_(complex)
KLHL9	KLHL13	CUL3	Cul3_protein_complex_(complex)
DDX5	DROSHA	DGCR8	Drosha/DGCR8/p68_helicase_(complex)
LYN	FYN	GP_VI_/_phosphorylated_Fc_Epsilon_R1_gamma_complex_(complex)	GPVI/phosphorylated_Fc_Epsilon_R1_gamma/FYN/LYN_(complex)
HDAC9	MEF2C	MEF2A	MITR/MEF2_(complex)
CDLC_(family)	NDEL1	LIS1	CDLC/LIS1/NUDEL_(complex)
E2/ER_alpha_(dimer)_(complex)	STRN	ESR1	E2/ER_alpha_(dimer)/Striatin_(complex)
LAMB1	LAMA1	LAMC1	Laminin-1_(EHS_laminin)_(complex)
DP_(family)	RB1	E2F1	RB1/E2F1/DP_(complex)
CENPK	CENPI	CENPH	CENP-(HI_K)_complex_(complex)
CRK	PTK2B	PXN	PYK2/Paxillin/CRK_(complex)
TNF	Q8IW26	TNFRSF1A	TNF-alpha/TNFR1A/FAN_(complex)
RIPK1	dsDNA/DAI_(complex)	RIPK3	dsDNA/DAI/RIP1/RIP3_(complex)
FOS_(rna)	JUN	CREB1	c-FOS/c-JUN/CREB/CREB_(complex)
TAB2	NCOR1	ERBB4	E4ICDs/TAB2/NCoR1_(complex)
GNG2	GNA14	GNB1	GNA14/GDP/G_beta/gamma_(complex)
CHRNA5	CHRNB4	CHRNA3	Acetylcholine_receptor_alpha3-beta4-apha5_(complex)
PPP2CA	PPP2R1A	PP2A_B56	PP2A-alpha_B56_(complex)
EEF1G	EEF1D	EEF1B2	eEF1B_complex_(complex)
SLC2A4	ACAP1	CLTC	GLUT4/clathrin_heavy_chain/ACAP1_(complex)
YWHAZ	BAD	YWHAH	BAD/14-3-3_(complex)
KIRREL	NPHS2	NPHS1	Nephrin/NEPH1/podocin/Cholesterol_(complex)
CD44	ROCK2	Rho_family_GTPase_(family)	CD44/Rho_Family_GTPase/ROCK2_(complex)
palmitoylated_myristoylated_eNOS_dimer_(complex)	CAV1	NOS3	eNOS/Caveolin-1_(complex)
DNA_(rna)	RXRs/VDR/DNA/Vit_D3_(complex)	RXRs_(family)	RXRs/RXRs/DNA/9cRA_(complex)
PPP2CA	PPP2R2A	PPP2R1A	PP2A_(Aalpha/B55alpha/Calpha)_(complex)
FYN	NRP1	Plexin-A_(1-4)_(family)	NRP-1/PlexinA/Fyn_(complex)
PDE6C	PDE6H	PDE6H/GNAT2/GTP_(complex)	Cone_PDE6_(complex)
Cyclin_E_(family)	CCNE1	CDK2	Cyclin_E/CDK2_(complex)
P25	P35/CDK5_(complex)	CDK5	P25/CDK5_(complex)
IFN_alpha/beta_(IFNA/B)_(family)	STAT2/p-IFNAR1/p-TYK2_(complex)	IFNAR2/p-JAK1/STAT2_(complex)	IFNA/B/IFNAR2/p-JAK1/STAT2/p-IFNAR1/p-TYK2/STAT2_(complex)
MAPK14	PGK/cGMP_(complex)	TAB1	p38_alpha/TAB1_(complex)
40s_Ribosome_subunit	EIF3S10	RPS6	RPS6(+)/eIF3/40s_Ribosome_subunit_(complex)
ESR1	DDX54	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/DP97_(complex)
WNT7A	LRP6	FZD5	WNT7A/FZD5/LRP6_(complex)
COL9A2	COL9A3	COL9A1	Collagen_type_IX_(complex)
ACVRL1	CSNK2B	FKBP1A	CK2B/FKBP12/ALK1_(dimer)_(complex)
STAT6	ETS1	STAT6_(dimer)_(complex)	STAT6_(dimer)/ETS1_(complex)
HSP90_homodimer_(complex)	CDC37_homodimer_(complex)	Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs_(family)	Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)
GAS1	SHH	SHH_Np/Cholesterol_(complex)	SHH_Np/Cholesterol/GAS1_(complex)
P01343	IGF1R	IGF-1R_heterotetramer_(complex)	IGF-1R_heterotetramer/IGF1_(complex)
SKP2	CUL1	SKP1	SCF(Skp2)_complex_(complex)
AP2M1	AP2A1	PIP2/AP180/AP2/EPSIN/Eps15/Amph1/2/dynamin/synaptojanin_(complex)	AP2_(complex)
ESR1	JUN	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/JUN_(complex)
TFDP1	RB1	E2F1	E2F1/RB1/TFDP1_(complex)
ATP1B2	ATP1B3	ATP1B1	Sodium/potassium-transporting_ATPase_beta_subunit_(complex)
F_Xa	F_VIIIa	PF3	F_Xa/F_VIIIa/PF3_(complex)
WNT3A	LRP6	FZD5	WNT3A/FZD5/LRP6_(complex)
STX1A	SNAP25	VAMP2	STX1A/SNAP25_fragment_1/VAMP2_(complex)
COL6A1	COL6A3-5-6_(family)	COL6A2	Type_VI_Collagen_(complex)
COL6A1	Collagen_alpha_3-6(VI)_(family)	COL6A2	Tropocollagen_type_VI_(complex)
Active_PDGF_dimers_(AA_AB_BB)_(family)	PLCG1	Phospho-_PDGF_receptor_dimer_(family)	PDGF/Phospho-PDGF_receptor_dimer/PLC-gamma_(complex)
RUNX2	HES1	RB1	HES1/RB1/RUNX2_(complex)
S1P1/S1P_(complex)	S1PR1	Gi_family_(family)	S1P1/S1P/Gi_(complex)
TLR2	TLR1	SAA1	SAA1/TLR2/TLR1_(complex)
HSP90_homodimer_(complex)	CDC37_homodimer_(complex)	Ligand-responsive_p-6Y-EGFR_mutants_sensitive_to_non-covalent_TKIs_(family)	Ligand-responsive_p-6Y-EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)
NCOA1	ESR1	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/Src-1_(complex)
ABI1	NCKAP1	CYFIP2	ABI1/Sra1/Nap1_(complex)
PAX5	LEF1	MYB	Myb/PAX5/LEF1_(complex)
ERBB2	EREG	ERBB4	ErbB4/ErbB2/epiregulin_(complex)
GNG2	GNB1	GNA13	G13/GDP/G_beta/gamma_(complex)
TXA2/TP_beta_(complex)	O75228	ARRB2	TXA2/TP_beta/beta_Arrestin2_(complex)
EP300	TP63-5	TAp63g_(tetramer)_(complex)	TAp63g_(tetramer)/p300_(complex)
MAP4K4	MAP3K1	CHUK	IKK-alpha/MEKK1/NIK_(complex)
HDAC1	MBD3	MTA3	MTA3/MBD3/HDAC_(complex)
STAT1_STAT5A_STAT5B_(family)	SFKs/p-7Y-KIT/sSCF_dimer/p-7Y-KIT_(complex)	JAK2	p-JAK2/SFKs/p-KIT_complex/STATs_(complex)
snRNP_Sm_core_complex_(complex)	Q9Y3B4	Splicing_Factor_3B_(complex)	U12_snRNP_(complex)
GNG2	Gs_family_(family)	GNB1	Gs_family/GDP/Gbeta_gamma_(complex)
FYN	NRP1	Phosphorylated_Plexin-A_(family)	NRP-1/pPlexin-A/Fyn_(complex)
GRB2	DOCK4	DNM2	GRB2/DOCK4/Dynamin_2_(complex)
AP2M1	Clathrin_(complex)	gap_junction_plaque_(complex)	junctional_plaque_prior_to_invagination_(complex)
WNT3	FZD1	LRP6	WNT3/FZD1/LRP6_(complex)
GPC1	FGF2	FGFR1	GPC1/FGF2_dimer/FGFR1_dimer_(complex)
G13/GTP_(complex)	GNA13	ARHGEF1	G13/GTP/p115RhoGEF_(complex)
FGG	FGA	FGB	Fibrinogen_(complex)
RIPK1	MAVS	FADD/procaspase-8/10_dimer_(complex)	IPS-1/RIP-1/FADD/procaspase-8/10_dimer_(complex)
CXCL9-11_(family)	PF4	CXCR3-2	CXCL9-11/CXCR3-B_(complex)
Fyn/pCdk5_(complex)	pCRMPs_tetramers_(S522)_(complex)	Plexin-A_(1-4)_(family)	PlexinA/Fyn/Cdk5/pCRMPs_(complex)
HSP90AA1	STK11	CDC37	LKB1/CDC37/HSP90_(complex)
Fb/C3b_(complex)	C3b_(complex)	Bb	Bb/C3b_(complex)
TLR2	HMGB1	TLR1	HMGB1/TLR2/TLR1_(complex)
Ephrin_A1/EPHA2_(complex)	EFNA1	EPHA2	Ephrin_A1/EPHA2_(complex)
INSR	Insulin_Ra/Insulin_Ra/Insulin_Rb/Insulin_Rb_(complex)	INS	Insulin/Insulin/Insulin_Ra/Insulin_Ra/Insulin_Rb/Insulin_Rb_(complex)
IL2RA	IL2RB	IL2RG	IL2R_(complex)
ITGB1	Q68EM9	ITGA4	alpha4/beta1_Integrin_(complex)
LAMB2	LAMA5	LAMC1	Laminin_11_(complex)
SLC9A3R1	TP_alpha/Gq_family/GDP/G_beta5/gamma2_(complex)	Gq_family_(family)	Gq_family/GTP/EBP50_(complex)
YWHAB	RAF1	p21_RAS/GTP_(complex)	Activated_RAF1_complex_(complex)
CSNK2A2	CSNK2A1	CSNK2B	Casein_kinase_II_(complex)
STAT2/1_hetero_dimer_(complex)	IFNAR1	TYK2	p-STAT2/p-STAT1/p-IFNAR1/p-TYK2_(complex)
NR2C2	TAB1	MAP3K7	TAB1/TAK1_(complex)
GNB1	GNGT1	Metarhodopsin_II/Transducin_(complex)	GNB1/GNGT1_(complex)
CALM1	CAMK4	Ca2+/CaM_(complex)	CaM/Ca2+/CAMK_IV_(complex)
EPOR	EPO	LYN	EPO/EPOR_(dimer)/LYN_(complex)
INSR	Insulin_Ra/Insulin_Ra/Insulin_Rb/Insulin_Rb_(complex)	INS	Insulin/Insulin_Ra/Insulin_Ra/Insulin_Rb/Insulin_Rb_(complex)
PTPN11	GRB2/Phospho-GAB1_(complex)	EGF/Phospho-EGFR_(Y992_Y1068_Y1086_Y1148_Y1173)_dimer_(complex)	SHP2-GRB2/Phospho_GAB1-EGF-Phospho-EGFR_dimer_(complex)
STX4	VAMP7	SNAP23	Vamp7/SNAP23/Syn4_Plasma_membrane_vesicle_docking_and_fusion_complex_(complex)
MRE11A	NBN	RAD50	M/R/N_Complex_(complex)
IL1A	IL1R1	IL1RAP	IL1_alpha/IL1R1/IL1RAP_(complex)
MLLT4	PVRL1	nectin-1/I-afadin_(complex)	nectin-1(dimer)/I-afadin/I-afadin_(complex)
RIPK1	MAVS	FADD/Casp-8/10_prodomain_(complex)	IPS-1/RIP-1/FADD/Casp-8/10_prodomain_(complex)
RND1	VAV1_Rho/Rac_effectors/GTP_(complex)	SEMA4D/pPlexin-B1/ErbB2_complex_(complex)	Sema4D/pPlexin-B1/ErbB2/Rac1/Rnd1_(complex)
NDC80_complex_(complex)	Mis12_complex_(complex)	CASC5	KMN_network_(complex)
CASP10	DR4/5_(family)	CASP8	DR4/5/Caspase_8/Caspase_10_(complex)
RBX1	VBC_complex_(complex)	CUL2	ECV_E3_ligase_complex_(complex)
ARNTL	BHLHE40	DEC1	DEC1/BMAL1_(complex)
STAT1_(dimer)_(complex)	STAT1	PIAS4	STAT1_(dimer)/PIASy_(complex)
O00145	DOK1	RASA1	RasGAP/p62DOK/SHIP_(complex)
RAS_family_(family)	TIAM1	RAS_family/GTP_(complex)	RAS_family/GTP/Tiam1_(complex)
EIF2S1	EIF2S3	EIF2S2	EIF-2-alpha(P)/EIF-2-gamma/EIF-2-beta_(complex)
ACTN2	DLG4	CaMKII_(complex)	NR2_interacting_proteins_(complex)
ERBB2	LRPPRC	IL6R	IL-6R-alpha/IL-6R-alpha/GP130/GP130/ERBB2_(complex)
GRIK4_interacting_proteins_(complex)	GRIK1_GRIK2_GRIK3_(family)	GRIK4	GRIK4_heteromer_with_GRIK1/2/3_(complex)
CLIP1	LIS1/CLIP170/Dynein_Complex/Dynactin_Complex_(complex)	PAFAH1B1	LIS1/CLIP170_(complex)
PDE6C	GNAT2	PDE6H/GNAT2/GTP_(complex)	GNAT2/GDP_(complex)
Activated_TLR1/2_or_TLR_2/6_heterodimers_or_TLR4_homodimer_(family)	MyD88_oligomer_(complex)	TIRAP	oligo-MyD88/Mal/activated_TLR_receptor_(complex)
NCOA2	ESR1	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/TIF2_(complex)
TRAF6	BCL10	MALT1	BCL10/MALT1/TRAF6_(complex)
BAD	PRKCD	SNCA	BAD/PKC_delta/Alpha-Synuclein_(complex)
MLLT4	nectin-2/I-afadin_(complex)	PVRL2	nectin-2(dimer)/I-afadin/I-afadin_(complex)
HDAC3	HDAC4	NCOR2	HDAC4/HDAC3/SMRT_(N-CoR2)_(complex)
KHDRBS1_(complex)	SRC/SAM68_(complex)	RASA1	KHDRBS1_(complex)
MYB	SND1	PIM1	PIM1/p100/Myb_(complex)
UBE2A	VHL	ubiquitin_(family)	VHL/E2/ubiquitin_(complex)
RIPK1	TRAF2	TRADD	TRAF2/TRADD/RIP1_Complex_(complex)
RAB1A	GOLGA2	GORASP1	GRASP65/GM130/RAB1/GTP_(complex)
EPOR	TRPC2	IP3_Receptors	EPOR/TRPC2/IP3_Receptors_(complex)
NMDA_receptor_ligand_complex_(complex)	active_Calmodulin_(complex)	RasGRF_(complex)	RasGRF/Ca/calmodulin_(complex)
GNG2	GNA15	GNB1	GNA15/GDP/G_beta/gamma_(complex)
ERBB2	ERBB4	BTC	ErbB4/ErbB2/betacellulin_(complex)
Activated_MASP-2_dimer_(complex)	MBL-II_tetramer_(complex)	Activated_MASP-1_dimer_(complex)	MBL-II/Activated_MASP-1_dimer/Activated_MASP-2_dimer_complex_(complex)
RBX1	BTB_members_of_E3_ligase_complex_(family)	CUL3	RBX1-CUL3-BTB_(complex)
CACNA2D2	CACNA1C	Beta_Subunit_of_Voltage-dependent_Calcium_Channel_(pancreatic_beta_cell)_(family)	Voltage-gated_Calcium_Channel_L-type_1.2_(complex)
LXRs_(family)	DNA_(rna)	RXRs_(family)	RXRs/LXRs/DNA_(complex)
